filename,duration,intDB,f0,f0SD,f0min,f0max,f0intonation,f0Start,f0End,f0Glide,f1,f2,f3,f4,formDisp,lowFreqEnergy,highFreqEnergy,alphaRatio,hnr,jitRap,shimAPQ3,logF0,logformDisp
nf01_w01_ang_70dB.wav,853.9,70.0,414.5,88.81,244.0,536.3,292.2,280.1,251.2,-28.9,1023.9,1733.9,2550.1,3591.1,855.749,23.1,33.9,0.7,12.3,0.00446,0.02854,2.62,2.93
nf01_w01_fea_70dB.wav,966.6,70.0,241.6,31.46,170.5,310.1,139.6,273.3,200.4,-72.9,448.6,1464.1,3008.0,3827.6,1126.317,39.8,20.7,1.9,17.0,0.00464,0.02686,2.38,3.05
nf01_w02_ang_70dB.wav,769.9,70.0,374.7,62.99,219.3,466.7,247.4,303.0,240.7,-62.4,784.4,1958.7,2730.8,3363.4,859.676,32.6,33.1,1.0,8.3,0.00374,0.05981,2.57,2.93
nf01_w02_fea_70dB.wav,916.1,70.0,236.5,20.05,196.6,293.0,96.4,226.6,233.7,7.0,349.6,1853.5,2777.6,3759.4,1136.608,39.9,14.0,2.9,19.0,0.00619,0.01394,2.37,3.06
nf01_w03_ang_70dB.wav,1009.0,70.0,372.4,88.16,194.0,511.3,317.3,329.6,199.0,-130.6,790.7,1997.2,2722.8,3473.1,894.158,36.3,31.6,1.1,8.9,0.00474,0.05290,2.57,2.95
nf01_w03_fea_70dB.wav,688.1,70.0,219.8,13.35,190.2,245.9,55.7,218.3,194.8,-23.4,345.9,1738.4,2740.4,3829.1,1161.042,40.0,11.9,3.3,20.6,0.00457,0.01413,2.34,3.06
nf01_w05_ang_70dB.wav,984.3,70.0,453.8,72.54,282.7,572.8,290.1,377.6,284.6,-93.0,1044.8,1578.5,2537.6,3493.2,816.138,27.4,33.7,0.8,14.1,0.00292,0.02688,2.66,2.91
nf01_w05_fea_70dB.wav,641.3,70.0,235.0,12.74,208.6,264.0,55.5,226.5,217.8,-8.8,508.3,1457.6,2922.6,3767.6,1086.430,39.9,17.4,2.3,19.5,0.00565,0.02156,2.37,3.04
nf03_w01_ang_70dB.wav,684.5,70.0,357.4,62.51,247.3,508.7,261.5,255.4,285.4,30.0,649.9,1684.3,2636.2,3629.9,993.339,34.2,32.6,1.0,13.5,0.00413,0.03854,2.55,3.00
nf03_w01_fea_70dB.wav,749.6,70.0,340.7,8.17,324.0,365.5,41.6,350.7,344.4,-6.3,613.2,1737.9,2483.8,3442.7,943.175,39.2,26.4,1.5,22.2,0.00250,0.00956,2.53,2.97
nf03_w02_ang_70dB.wav,881.0,70.0,277.1,41.59,180.4,323.1,142.7,251.7,184.3,-67.3,716.6,1823.5,2677.0,3598.0,960.477,34.7,32.4,1.1,13.9,0.00272,0.04770,2.44,2.98
nf03_w02_fea_70dB.wav,680.0,70.0,332.5,14.64,311.1,367.1,56.0,344.8,354.9,10.0,435.8,1414.2,2658.5,3320.4,961.514,39.9,16.2,2.5,23.1,0.00259,0.00737,2.52,2.98
nf03_w03_ang_70dB.wav,965.5,70.0,351.9,78.81,174.4,520.2,345.7,295.4,175.3,-120.1,552.3,1837.1,2566.5,3555.2,1000.987,38.7,27.9,1.4,16.2,0.00418,0.01245,2.55,3.00
nf03_w03_fea_70dB.wav,764.1,70.0,354.4,31.03,299.3,415.3,116.0,346.9,415.3,68.4,459.4,1454.4,2540.4,3409.8,983.476,39.9,17.3,2.3,24.2,0.00320,0.00619,2.55,2.99
nf03_w05_ang_70dB.wav,929.9,70.0,326.1,41.62,224.4,399.5,175.1,251.6,244.2,-7.4,640.1,1457.5,2426.6,3350.8,903.555,28.6,33.6,0.9,14.9,0.00275,0.01692,2.51,2.96
nf03_w05_fea_70dB.wav,676.2,70.0,344.7,20.80,317.7,387.6,69.9,333.2,382.4,49.2,486.5,1410.5,2421.3,3328.3,947.272,39.5,24.3,1.6,24.9,0.00206,0.00776,2.54,2.98
