filename,duration,intDB,f0,f0SD,f0min,f0max,f0intonation,f0Start,f0End,f0Glide,f1,f2,f3,f4,formDisp,lowFreqEnergy,highFreqEnergy,alphaRatio,hnr,jitRap,shimAPQ3,logF0,logformDisp
nm03_w01_ang_70dB.wav,772.1,70.0,275.6,31.61,178.3,315.1,136.8,302.6,193.9,-108.7,572.5,1594.4,2435.7,3272.9,900.132,36.1,31.7,1.1,8.1,0.00710,0.05291,2.44,2.95
nm03_w01_fea_70dB.wav,642.9,70.0,205.4,17.99,177.2,240.2,63.0,197.1,187.0,-10.0,437.7,1704.9,2613.1,3628.3,1063.546,39.8,19.8,2.0,18.3,0.00306,0.01365,2.31,3.03
nm03_w02_ang_70dB.wav,904.1,70.0,254.0,47.12,127.8,309.8,182.0,260.7,127.9,-132.8,609.2,1617.7,2452.3,3108.3,833.016,35.2,32.2,1.1,11.2,0.00784,0.03416,2.40,2.92
nm03_w02_fea_70dB.wav,979.7,70.0,227.5,30.14,169.6,301.0,131.4,213.6,176.4,-37.2,419.3,1905.0,2629.3,4025.8,1202.165,39.9,18.0,2.2,21.2,0.00318,0.00959,2.36,3.08
nm03_w03_ang_70dB.wav,929.9,70.0,246.8,44.50,115.6,297.3,181.7,266.9,115.6,-151.3,619.8,1741.8,2403.2,3146.4,842.183,34.9,32.4,1.1,10.0,0.01079,0.05467,2.39,2.93
nm03_w03_fea_70dB.wav,804.3,70.0,208.1,19.48,166.6,238.9,72.2,204.2,166.6,-37.6,440.4,1905.8,2717.8,3956.8,1172.138,39.8,19.8,2.0,18.5,0.00335,0.01092,2.32,3.07
nm03_w05_ang_70dB.wav,810.5,70.0,247.6,31.95,151.0,291.8,140.8,199.9,159.4,-40.5,649.7,1433.3,2583.2,3346.2,898.853,38.2,29.2,1.3,10.7,0.01133,0.04612,2.39,2.95
nm03_w05_fea_70dB.wav,838.7,70.0,216.4,31.24,175.7,296.9,121.3,177.4,239.0,61.5,437.3,1521.9,2600.8,3428.6,997.095,39.9,15.9,2.5,17.6,0.00505,0.01891,2.34,3.00
nm04_w01_ang_70dB.wav,642.4,70.0,266.3,59.04,156.6,343.8,187.1,168.3,280.4,112.1,836.4,1600.6,2492.3,3076.2,746.598,34.0,32.7,1.0,5.1,0.01019,0.06287,2.43,2.87
nm04_w01_fea_70dB.wav,784.9,70.0,157.7,22.53,126.2,202.0,75.8,141.7,126.3,-15.5,762.7,1889.2,2960.2,3881.3,1039.538,39.9,17.7,2.3,14.5,0.00582,0.01294,2.20,3.02
nm04_w02_ang_70dB.wav,540.0,70.0,266.6,53.15,171.8,351.8,180.0,186.9,229.8,42.9,682.1,1751.2,2415.1,2950.8,756.245,30.3,33.5,0.9,4.7,0.01325,0.08917,2.43,2.88
nm04_w02_fea_70dB.wav,884.8,70.0,213.3,30.02,170.9,258.2,87.3,181.0,242.3,61.3,402.7,1784.8,2610.7,3463.3,1020.203,39.9,18.7,2.1,20.9,0.00354,0.00872,2.33,3.01
nm04_w03_ang_70dB.wav,588.7,70.0,275.1,56.79,123.2,326.5,203.3,136.9,142.0,5.1,597.3,1890.8,2553.4,3124.7,842.460,33.2,32.9,1.0,3.4,0.01364,0.10331,2.44,2.93
nm04_w03_fea_70dB.wav,997.5,70.0,208.1,37.30,148.0,264.7,116.7,189.3,242.1,52.9,389.9,1696.5,2648.9,3440.7,1016.945,39.9,18.5,2.2,20.3,0.00379,0.01120,2.32,3.01
nm04_w05_ang_70dB.wav,659.2,70.0,281.4,40.86,192.2,344.6,152.4,248.5,196.9,-51.6,764.4,1546.7,2456.8,2955.1,730.238,35.0,32.3,1.1,4.8,0.01140,0.05913,2.45,2.86
nm04_w05_fea_70dB.wav,896.3,70.0,205.7,25.67,162.6,255.1,92.6,211.0,232.3,21.3,493.7,1538.1,2593.5,3727.6,1077.982,40.0,14.0,2.9,20.4,0.00382,0.01530,2.31,3.03
