filename,duration,intDB,f0,f0SD,f0min,f0max,f0intonation,f0Start,f0End,f0Glide,f1,f2,f3,f4,formDisp,lowFreqEnergy,highFreqEnergy,alphaRatio,hnr,jitRap,shimAPQ3,logF0,logformDisp
nf01_w01_20_70db.wav,938.8,70.0,267.6,38.12,170.0,342.4,172.4,274.5,173.1,-101.3,531.0,1458.3,2967.7,3799.1,1089.375,39.4,24.6,1.6,16.9,0.00299,0.01512,2.43,3.04
nf01_w01_30_70db.wav,930.4,70.0,281.8,42.04,177.1,360.6,183.4,271.8,177.1,-94.7,554.4,1458.8,2961.0,3796.0,1080.551,38.9,27.5,1.4,15.8,0.00324,0.01676,2.45,3.03
nf01_w01_40_70db.wav,920.5,70.0,297.5,46.47,185.3,379.5,194.2,275.3,208.1,-67.2,623.0,1476.2,2913.1,3751.3,1042.767,38.2,29.3,1.3,15.7,0.00280,0.01566,2.47,3.02
nf01_w01_50_70db.wav,909.3,70.0,313.2,52.25,191.6,397.2,205.6,274.8,212.1,-62.6,687.1,1502.7,2831.3,3647.7,986.857,36.9,31.0,1.2,15.4,0.00263,0.01669,2.50,2.99
nf01_w01_60_70db.wav,897.6,70.0,329.7,59.29,184.5,416.8,232.3,275.6,184.6,-91.0,756.1,1522.0,2773.5,3571.7,938.532,35.4,32.1,1.1,15.2,0.00277,0.02042,2.52,2.97
nf01_w01_70_70db.wav,884.8,70.0,348.8,65.28,210.7,438.4,227.6,276.5,223.0,-53.5,809.3,1553.7,2730.8,3573.4,921.367,33.7,32.8,1.0,15.1,0.00252,0.01784,2.54,2.96
nf01_w01_80_70db.wav,868.5,70.0,368.3,73.02,218.3,464.3,245.9,278.0,218.3,-59.6,884.7,1592.7,2589.4,3529.9,881.710,31.4,33.3,0.9,14.6,0.00280,0.01937,2.57,2.95
nf01_w02_20_70db.wav,883.4,70.0,256.6,21.24,221.9,321.4,99.5,238.8,230.1,-8.7,399.6,1864.1,2836.5,3774.0,1124.788,39.8,19.7,2.0,17.0,0.00401,0.01096,2.41,3.05
nf01_w02_30_70db.wav,879.3,70.0,268.1,23.64,225.5,330.1,104.5,245.5,249.1,3.6,442.5,1740.6,2805.2,3616.0,1057.827,39.6,22.6,1.8,15.5,0.00413,0.01446,2.43,3.02
nf01_w02_40_70db.wav,863.8,70.0,280.1,26.91,224.5,328.5,104.0,252.9,230.1,-22.7,489.2,1773.3,2781.6,3578.8,1029.866,39.3,25.3,1.6,13.9,0.00455,0.02508,2.45,3.01
nf01_w02_50_70db.wav,849.1,70.0,293.0,31.67,223.4,339.0,115.6,259.7,228.3,-31.4,530.3,1822.4,2761.2,3511.5,993.754,38.8,27.8,1.4,12.5,0.00401,0.03744,2.47,3.00
nf01_w02_60_70db.wav,825.9,70.0,307.0,36.66,221.9,361.7,139.8,268.6,223.6,-44.9,591.1,1880.4,2758.8,3525.8,978.238,37.9,29.7,1.3,11.4,0.00408,0.05448,2.49,2.99
nf01_w02_70_70db.wav,812.7,70.0,322.1,42.50,220.7,383.8,163.1,276.3,221.5,-54.8,663.2,1936.8,2768.4,3582.5,973.088,36.8,31.1,1.2,9.6,0.00482,0.04824,2.51,2.99
nf01_w02_80_70db.wav,799.9,70.0,338.4,48.89,219.7,408.8,189.0,284.7,232.2,-52.6,720.5,1978.2,2748.6,3577.2,952.239,35.4,32.1,1.1,9.5,0.00390,0.06020,2.53,2.98
nf01_w03_20_70db.wav,749.8,70.0,242.3,21.30,192.7,275.6,82.9,235.5,194.0,-41.6,373.7,1836.9,2722.9,3776.8,1134.369,39.9,16.6,2.4,19.9,0.00340,0.01042,2.38,3.05
nf01_w03_30_70db.wav,782.6,70.0,255.1,27.01,191.2,290.8,99.5,244.0,191.3,-52.7,399.8,1788.8,2746.0,3765.4,1121.892,39.9,18.9,2.1,18.6,0.00346,0.01167,2.41,3.05
nf01_w03_40_70db.wav,815.3,70.0,268.4,33.77,191.3,309.0,117.7,254.6,192.6,-62.0,443.6,1837.3,2719.8,3740.7,1099.043,39.7,21.8,1.8,16.5,0.00427,0.01361,2.43,3.04
nf01_w03_50_70db.wav,852.9,70.0,282.8,41.20,189.7,331.8,142.1,264.6,189.7,-74.9,476.9,1846.5,2742.1,3669.9,1064.321,39.5,24.2,1.6,15.4,0.00393,0.02099,2.45,3.03
nf01_w03_60_70db.wav,881.2,70.0,298.9,48.85,190.5,359.5,169.0,276.3,191.6,-84.8,521.4,1835.0,2687.7,3599.8,1026.135,39.1,26.9,1.5,13.3,0.00359,0.02970,2.48,3.01
nf01_w03_70_70db.wav,914.5,70.0,315.7,57.32,195.2,391.4,196.3,288.6,195.2,-93.4,577.8,1903.2,2688.2,3542.4,988.205,38.4,28.8,1.3,12.3,0.00399,0.03854,2.50,2.99
nf01_w03_80_70db.wav,951.2,70.0,334.1,66.36,195.5,425.9,230.4,300.0,195.5,-104.4,663.9,1823.8,2648.4,3496.0,944.049,37.9,29.8,1.3,11.2,0.00389,0.03983,2.52,2.97
nf01_w05_20_70db.wav,720.0,70.0,266.0,19.70,216.2,304.8,88.6,249.5,224.2,-25.4,567.0,1483.1,2874.8,3631.1,1021.348,39.7,22.1,1.8,19.2,0.00298,0.01198,2.42,3.01
nf01_w05_30_70db.wav,755.8,70.0,283.4,24.45,223.2,331.8,108.6,261.4,229.5,-31.9,610.5,1467.3,2883.2,3665.4,1018.318,39.4,25.1,1.6,18.5,0.00262,0.01161,2.45,3.01
nf01_w05_40_70db.wav,786.2,70.0,302.2,29.83,229.6,354.0,124.4,272.7,236.4,-36.3,615.1,1423.2,2720.0,3592.9,992.607,38.8,27.9,1.4,17.4,0.00253,0.01548,2.48,3.00
nf01_w05_50_70db.wav,820.0,70.0,321.3,36.71,231.7,382.9,151.1,284.1,240.7,-43.3,672.2,1448.6,2639.6,3483.3,937.044,37.7,30.1,1.3,16.6,0.00233,0.01593,2.51,2.97
nf01_w05_60_70db.wav,852.6,70.0,342.6,43.96,236.5,411.3,174.8,296.5,246.7,-49.9,735.5,1454.0,2543.0,3456.6,907.011,36.3,31.5,1.2,16.3,0.00227,0.02438,2.53,2.96
nf01_w05_70_70db.wav,884.9,70.0,365.3,52.06,240.6,446.2,205.5,312.0,252.4,-59.6,797.4,1470.1,2419.9,3404.0,868.882,35.1,32.3,1.1,16.5,0.00215,0.02120,2.56,2.94
