filename,duration,intDB,f0,f0SD,f0min,f0max,f0intonation,f0Start,f0End,f0Glide,f1,f2,f3,f4,formDisp,lowFreqEnergy,highFreqEnergy,alphaRatio,hnr,jitRap,shimAPQ3,logF0,logformDisp
nm03_w01_20_70db.wav,667.1,70.0,216.1,18.29,182.6,247.5,64.9,210.8,184.8,-26.1,424.1,1657.7,2555.1,3507.3,1027.752,39.7,22.3,1.8,18.1,0.00272,0.01319,2.33,3.01
nm03_w01_30_70db.wav,675.7,70.0,221.6,19.68,173.2,251.3,78.0,221.6,180.0,-41.6,477.9,1666.5,2550.5,3414.6,978.894,39.6,23.7,1.7,17.1,0.00335,0.01575,2.35,2.99
nm03_w01_40_70db.wav,693.7,70.0,228.6,20.19,177.2,255.3,78.1,231.1,179.2,-51.9,477.3,1630.4,2531.0,3381.7,968.156,39.4,24.9,1.6,16.6,0.00265,0.01758,2.36,2.99
nm03_w01_50_70db.wav,709.0,70.0,235.5,21.26,176.7,259.6,82.8,241.1,177.8,-63.3,481.1,1597.4,2484.3,3345.7,954.846,39.1,26.8,1.5,14.8,0.00441,0.02392,2.37,2.98
nm03_w01_60_70db.wav,712.6,70.0,243.0,22.66,175.3,264.2,88.9,254.5,177.8,-76.7,511.6,1614.6,2498.5,3279.2,922.560,38.7,28.0,1.4,13.7,0.00390,0.02669,2.39,2.96
nm03_w01_70_70db.wav,729.3,70.0,250.1,24.79,173.5,273.7,100.2,263.6,175.0,-88.6,502.0,1600.3,2469.0,3269.7,922.548,38.5,28.6,1.3,11.5,0.00460,0.03096,2.40,2.96
nm03_w01_80_70db.wav,741.1,70.0,259.4,25.67,176.5,287.4,110.9,277.0,176.5,-100.5,561.3,1598.2,2459.9,3288.8,909.154,38.1,29.5,1.3,11.0,0.00491,0.03666,2.41,2.96
nm03_w02_20_70db.wav,964.9,70.0,229.5,33.04,152.6,295.4,142.8,217.8,159.7,-58.0,417.0,1815.2,2564.3,3912.0,1164.998,39.8,19.4,2.1,20.7,0.00296,0.00893,2.36,3.07
nm03_w02_30_70db.wav,959.3,70.0,230.8,35.51,145.0,293.1,148.1,219.9,151.9,-68.1,424.1,1795.9,2561.1,3778.2,1118.023,39.7,21.3,1.9,20.0,0.00288,0.01133,2.36,3.05
nm03_w02_40_70db.wav,949.3,70.0,232.5,37.53,138.2,290.8,152.5,223.0,146.1,-76.9,424.6,1733.6,2482.3,3526.1,1033.834,39.5,23.9,1.7,18.6,0.00346,0.01339,2.37,3.01
nm03_w02_50_70db.wav,945.0,70.0,233.8,40.54,130.1,288.3,158.2,226.0,138.6,-87.3,427.7,1630.4,2419.5,3228.2,933.500,39.3,25.9,1.5,17.5,0.00327,0.01573,2.37,2.97
nm03_w02_60_70db.wav,939.7,70.0,235.7,43.01,123.8,286.4,162.6,229.4,132.9,-96.5,437.4,1609.5,2348.6,3107.0,889.876,38.8,27.6,1.4,16.1,0.00409,0.01843,2.37,2.95
nm03_w02_70_70db.wav,928.8,70.0,238.6,45.22,120.8,283.8,163.0,234.6,130.1,-104.6,445.1,1598.1,2398.1,3065.7,873.561,38.3,29.0,1.3,15.4,0.00388,0.02108,2.38,2.94
nm03_w02_80_70db.wav,917.9,70.0,243.4,45.25,125.8,288.2,162.4,239.4,130.5,-108.8,501.4,1591.6,2477.7,3143.4,880.693,37.6,30.2,1.2,14.7,0.00437,0.02009,2.39,2.94
nm03_w03_20_70db.wav,827.4,70.0,212.9,24.70,149.5,244.8,95.2,211.5,150.2,-61.3,411.6,1863.4,2588.3,3761.2,1116.514,39.7,22.1,1.8,18.0,0.00300,0.01188,2.33,3.05
nm03_w03_30_70db.wav,838.4,70.0,216.1,26.90,147.9,248.3,100.4,212.4,148.0,-64.4,424.8,1816.8,2521.3,3644.6,1073.249,39.5,24.0,1.6,17.2,0.00335,0.01424,2.33,3.03
nm03_w03_40_70db.wav,852.6,70.0,219.4,29.62,141.2,251.9,110.7,217.7,141.4,-76.2,424.9,1853.6,2489.2,3546.1,1040.398,39.3,25.4,1.5,16.3,0.00452,0.01774,2.34,3.02
nm03_w03_50_70db.wav,871.5,70.0,223.4,32.28,137.5,255.9,118.5,226.1,137.5,-88.6,410.8,1837.9,2431.8,3393.3,994.166,39.0,26.9,1.5,15.4,0.00476,0.02215,2.35,3.00
nm03_w03_60_70db.wav,875.8,70.0,226.7,35.52,128.7,261.1,132.5,233.2,131.0,-102.2,452.4,1841.3,2442.2,3344.9,964.156,38.6,28.4,1.4,14.4,0.00555,0.02343,2.36,2.98
nm03_w03_70_70db.wav,894.5,70.0,232.0,36.84,129.0,270.0,141.0,239.9,129.0,-110.9,475.4,1807.4,2448.0,3324.1,949.557,38.0,29.6,1.3,14.0,0.00533,0.03069,2.37,2.98
nm03_w03_80_70db.wav,906.5,70.0,236.0,40.27,123.3,278.5,155.2,248.9,123.3,-125.6,502.0,1786.2,2439.5,3274.7,924.241,37.3,30.7,1.2,13.0,0.00602,0.03073,2.37,2.97
nm03_w05_20_70db.wav,834.7,70.0,220.1,25.87,175.4,290.7,115.3,183.4,220.7,37.4,444.9,1511.4,2600.6,3407.8,987.623,39.8,19.0,2.1,18.1,0.00348,0.01561,2.34,2.99
nm03_w05_30_70db.wav,833.8,70.0,222.2,24.56,175.7,288.2,112.5,186.1,181.2,-5.0,445.8,1452.1,2552.3,3368.8,974.322,39.8,19.1,2.1,17.7,0.00418,0.01678,2.35,2.99
nm03_w05_40_70db.wav,829.7,70.0,225.4,23.39,176.5,284.5,108.1,189.2,183.1,-6.1,480.9,1511.5,2563.8,3425.4,981.519,39.8,20.1,2.0,16.9,0.00418,0.02180,2.35,2.99
nm03_w05_50_70db.wav,829.2,70.0,228.6,23.47,175.4,282.6,107.2,191.5,178.2,-13.3,502.1,1475.7,2564.3,3421.2,973.038,39.7,21.3,1.9,16.3,0.00512,0.02180,2.36,2.99
nm03_w05_60_70db.wav,826.3,70.0,230.9,24.92,162.8,279.2,116.4,193.1,167.6,-25.6,531.8,1472.9,2553.6,3420.0,962.737,39.6,23.3,1.7,15.3,0.00531,0.02059,2.36,2.98
nm03_w05_70_70db.wav,818.4,70.0,235.2,25.35,168.0,277.1,109.1,194.6,172.4,-22.2,567.4,1443.7,2585.8,3407.5,946.701,39.4,24.7,1.6,14.5,0.00556,0.02685,2.37,2.98
nm03_w05_80_70db.wav,823.8,70.0,237.9,28.56,151.6,275.9,124.3,198.1,158.1,-40.1,615.1,1471.2,2594.2,3373.7,919.555,39.2,26.3,1.5,13.4,0.00676,0.02954,2.38,2.96
nm04_w01_20_70db.wav,758.8,70.0,172.8,27.89,125.0,223.0,97.9,153.8,126.3,-27.5,717.0,1718.2,2679.8,3573.0,952.011,39.6,22.4,1.8,11.7,0.00586,0.01718,2.24,2.98
nm04_w01_30_70db.wav,734.6,70.0,180.8,30.94,126.4,234.4,108.0,157.9,126.5,-31.3,746.4,1679.9,2562.6,3513.1,922.250,39.4,24.9,1.6,9.6,0.00691,0.02454,2.26,2.96
nm04_w01_40_70db.wav,720.6,70.0,189.6,34.22,133.6,246.4,112.8,158.8,133.6,-25.1,805.1,1680.6,2614.0,3444.5,879.813,38.8,27.4,1.4,8.4,0.00563,0.03900,2.28,2.94
nm04_w01_50_70db.wav,706.2,70.0,199.0,37.81,132.0,258.9,126.9,160.8,139.8,-21.0,820.3,1672.1,2562.9,3338.4,839.384,37.9,29.7,1.3,7.1,0.00638,0.04000,2.30,2.92
nm04_w01_60_70db.wav,692.1,70.0,214.7,38.48,159.9,273.8,113.8,163.5,174.5,11.0,861.0,1682.0,2577.9,3309.6,816.211,36.8,31.0,1.2,6.7,0.00594,0.03920,2.33,2.91
nm04_w01_70_70db.wav,678.5,70.0,225.1,42.49,160.0,289.3,129.3,165.0,181.0,16.0,892.0,1700.3,2561.8,3281.2,796.413,35.7,31.9,1.1,6.4,0.00579,0.04737,2.35,2.90
nm04_w01_80_70db.wav,664.9,70.0,238.0,46.38,160.2,306.4,146.2,167.6,193.6,26.0,892.9,1687.8,2562.2,3292.7,799.950,35.0,32.2,1.1,6.5,0.00620,0.03831,2.38,2.90
nm04_w02_20_70db.wav,819.9,70.0,220.7,29.69,170.7,258.9,88.2,175.7,218.2,42.5,432.3,1817.7,2577.2,3395.0,987.565,39.7,22.5,1.8,18.4,0.00289,0.01188,2.34,2.99
nm04_w02_30_70db.wav,777.4,70.0,224.8,31.40,170.4,265.3,94.9,175.1,210.5,35.4,423.9,1750.5,2534.3,3373.9,983.355,39.4,24.6,1.6,16.5,0.00317,0.01821,2.35,2.99
nm04_w02_40_70db.wav,748.5,70.0,229.9,33.75,169.6,277.3,107.7,172.3,200.7,28.4,479.0,1777.5,2551.1,3278.0,932.988,39.0,27.0,1.4,14.1,0.00411,0.02952,2.36,2.97
nm04_w02_50_70db.wav,709.7,70.0,235.0,37.20,169.9,288.5,118.7,172.7,199.0,26.3,495.4,1741.1,2492.5,3147.3,883.966,38.3,29.0,1.3,12.0,0.00492,0.04795,2.37,2.95
nm04_w02_60_70db.wav,670.6,70.0,240.4,41.29,169.1,300.4,131.3,173.0,197.1,24.1,515.9,1726.2,2461.4,3027.1,837.049,37.2,30.7,1.2,10.1,0.00534,0.06353,2.38,2.92
nm04_w02_70_70db.wav,642.4,70.0,248.5,44.75,169.7,317.1,147.4,175.1,200.8,25.7,540.8,1694.3,2418.4,2924.1,794.449,35.7,31.9,1.1,8.2,0.00608,0.07303,2.40,2.90
nm04_w02_80_70db.wav,612.0,70.0,256.3,49.25,170.6,326.6,156.0,177.8,205.5,27.8,582.5,1715.3,2418.7,2890.2,769.242,34.0,32.7,1.0,6.3,0.00711,0.08766,2.41,2.89
nm04_w03_20_70db.wav,916.9,70.0,213.4,34.73,165.1,268.0,102.9,171.0,198.9,27.9,399.8,1777.9,2601.3,3361.0,987.080,39.7,21.9,1.8,17.4,0.00389,0.01776,2.33,2.99
nm04_w03_30_70db.wav,879.0,70.0,216.8,35.52,155.2,272.4,117.2,163.2,202.3,39.1,404.6,1817.8,2570.9,3317.6,971.010,39.5,23.7,1.7,15.3,0.00441,0.02074,2.34,2.99
nm04_w03_40_70db.wav,831.9,70.0,220.7,37.24,153.4,277.0,123.5,157.2,193.9,36.7,406.0,1850.9,2546.3,3276.8,956.916,39.3,25.4,1.5,13.0,0.00520,0.02547,2.34,2.98
nm04_w03_50_70db.wav,791.0,70.0,224.3,40.19,148.4,281.1,132.6,150.8,184.1,33.2,442.2,1906.3,2573.5,3261.0,939.601,38.9,27.4,1.4,10.6,0.00553,0.03292,2.35,2.97
nm04_w03_60_70db.wav,749.8,70.0,226.9,44.77,135.1,286.5,151.5,143.0,159.1,16.1,461.0,1913.1,2610.2,3249.3,929.435,38.2,29.1,1.3,8.3,0.00658,0.04782,2.36,2.97
nm04_w03_70_70db.wav,719.4,70.0,233.0,47.66,137.7,295.6,157.9,140.8,165.8,25.0,537.7,1949.0,2610.8,3260.7,907.669,37.5,30.3,1.2,6.3,0.00733,0.06681,2.37,2.96
nm04_w03_80_70db.wav,675.8,70.0,235.9,54.33,130.5,302.8,172.4,138.3,137.6,-0.7,514.2,1918.0,2577.9,3180.0,888.582,36.3,31.4,1.2,5.1,0.00828,0.06805,2.37,2.95
nm04_w05_20_70db.wav,856.4,70.0,214.3,23.33,177.6,255.0,77.4,200.2,200.4,0.3,576.6,1605.7,2533.7,3633.8,1019.095,39.8,20.2,2.0,17.8,0.00321,0.01644,2.33,3.01
nm04_w05_30_70db.wav,833.6,70.0,218.7,24.46,183.8,258.9,75.1,194.4,188.8,-5.6,605.8,1574.8,2498.1,3578.8,991.001,39.6,23.3,1.7,15.5,0.00361,0.02133,2.34,3.00
nm04_w05_40_70db.wav,808.8,70.0,223.8,26.89,179.3,267.3,88.0,190.3,189.7,-0.6,643.6,1592.1,2500.1,3525.9,960.767,39.3,25.8,1.5,13.5,0.00403,0.02515,2.35,2.98
nm04_w05_50_70db.wav,766.9,70.0,228.7,30.82,168.4,277.3,108.8,187.7,169.9,-17.8,758.0,1603.5,2508.4,3395.2,879.071,39.0,27.2,1.4,11.6,0.00522,0.03001,2.36,2.94
nm04_w05_60_70db.wav,745.0,70.0,234.6,35.03,158.6,289.3,130.6,187.6,160.3,-27.3,788.9,1598.5,2525.7,3260.5,823.851,38.4,28.8,1.3,10.2,0.00635,0.02895,2.37,2.92
nm04_w05_70_70db.wav,725.1,70.0,239.6,40.85,148.8,302.1,153.3,191.6,149.5,-42.2,839.6,1627.5,2531.6,3160.1,773.477,37.8,30.0,1.3,9.0,0.00621,0.03757,2.38,2.89
nm04_w05_80_70db.wav,707.8,70.0,246.7,45.45,141.5,313.8,172.3,195.9,155.5,-40.4,810.9,1574.9,2514.0,3100.5,763.203,37.1,30.8,1.2,7.6,0.00762,0.04681,2.39,2.88
