participant,intro_question1_1,LAge_1,LSex_1,LMotherLanguage_1,LStudyWork_1,LHearingDisabilitiesKnown_1,LHearingDisabilitiesKind_1,LHearingDisabilitiesConstraint_1,StartRatingExperiment_1,afterExp1AllSoundsPlayed_1,afterExp2InstructionsClear_1,afterExp3RatingEvaluation_1,afterExp3RatingEvaluation_2,afterExp3RatingEvaluation_3,afterExp3RatingEvaluation_4,afterExp3RatingEvaluation_5,afterExp3RatingEvaluation_6,afterExp3RatingEvaluation_7,afterExp3RatingEvaluation_8,afterExp4Strategy_1,LPartCode_1,LPartCode_2,LPartCode_3,LPartCode_4,LPartCode_5,LPartCode_6,Anmerkungen_1,country,CLIENT_start,TIME_start,TIME_end,TIME_total
s.bd61ef9c-1160-475b-9bfb-a5b2a5e6a50d.txt,0632021,22,1,1,"Psychologie, 4. Semester",1,"","",Bachelorarbeit.2021-06-15-1513.data.bd61ef9c-1160-475b-9bfb-a5b2a5e6a50d.txt,1,Ich fand alles sehr gut verständlich.,4,2,2,5,1,4,5,2,"",A,H,S,7,5,N,"","DE, Germany","",2021-06-15-14-51,2021-06-15-15-17,26
s.4fe9a89c-a3e9-4535-b114-a0e9696f816e.txt,0632021,21,1,1,"Ergotherapie, 3. Fachsemester",1,"","",Bachelorarbeit.2021-07-11-1734.data.4fe9a89c-a3e9-4535-b114-a0e9696f816e.txt,1,Alles verständlich,4,3,2,4,1,4,5,2,"- nach Ausschlussprinzip: Hab ich keinerlei Angst gehört, dann wütend angeklickt, ansonsten immer ängstlich",i,l,R,6,0,i,"","US, United States","",2021-07-11-17-12,2021-07-11-17-38,26
s.de6730fa-53f6-4616-aac3-52e51d5bd969.txt,0632021,20,1,1,Kommunikationswissenschaft/Psychology,2,Tinnitus ,1,Bachelorarbeit.2021-06-16-1451.data.de6730fa-53f6-4616-aac3-52e51d5bd969.txt,1,ich hatte keine Probleme mit den Aufgabenstellungen ,5,2,1,5,2,4,4,1,ich habe auf die Lautstärke und die Betonung geachtet ,A,I,H,8,9,A,"Vorallem wenn ich mich auf Stimmen konzentriere schließe ich oft meine Augen, dadruch war ich manchmal zu schnell oder langsam beim beantworten und musste mich bei den Aufgaben mit dem roten Kreuz mehr auf den Buldschirm als auf die Stimmen konzentrieren. ","DE, Germany","",2021-06-16-14-22,2021-06-16-14-57,35
s.a791c06a-fe3f-4faf-b027-1f6e230565bb.txt,"","","","","","","","","","","","","","","","","","","","","","","","","","","","DE, Germany","",2021-07-14-08-24,2021-07-14-08-25,1
s.fdc18ef1-4266-4041-b480-e6136cb0526c.txt,0632021,21,1,1,"Biotechnologie, 4. Semester",1,"","",Bachelorarbeit.2021-07-09-2120.data.fdc18ef1-4266-4041-b480-e6136cb0526c.txt,1,alles gut,5,2,2,5,1,5,5,2,"- ""Bilder im Kopf"", also welche Gestik am besten passen würde ","","","","","","","war sehr interessant, besonders wenn man selber Muster erkennt, wann es eher traurig oder eher wütend wirkt","DE, Germany","",2021-07-09-20-58,2021-07-09-21-24,26
s.31ed18cc-bb3f-4114-9f0a-f0596c67a6d1.txt,0632021,20,2,1,"Psychologie (HF, 6. Semester)",1,"","",Bachelorarbeit.2021-06-15-1620.data.31ed18cc-bb3f-4114-9f0a-f0596c67a6d1.txt,1,"Einmal kam es mir so vor, als wäre eine Stimme drei mal hintereinander abgespielt worden - kann aber auch sein, dass das gewollt ist?",4,3,2,4,2,4,3,1,Keine besondere Strategie,A,H,K,1,7,E,Weiterhin viel Erfolg bei der Erhebung und beim Schreiben der BA! :),"DE, Germany","",2021-06-15-15-58,2021-06-15-16-23,25
s.580e6fe8-b0b7-4737-85a8-d3828ede8a2e.txt,0632021,24,2,1,"Geschichte/Geographie, 8./6. ",1,"","",Bachelorarbeit.2021-07-14-1040.data.580e6fe8-b0b7-4737-85a8-d3828ede8a2e.txt,1,Erklärung mit dem roten Kreuz war verkompliziert,5,4,2,4,1,3,5,1,Erster Eindruck im Vergleich zu den restlichen Tönen,"","","","","","",War vielleicht etwas lang und eintönig; Konzentration am Ende war trotz Pausen nicht wirklich hoch,"DE, Germany","",2021-07-14-09-58,2021-07-14-10-45,47
s.5f131992-237e-41df-b76f-08105a66af8d.txt,0632021,20,1,1,"Erziehungswissenschaft/Psychologie, 4/2",1,"","",Bachelorarbeit.2021-07-14-1701.data.5f131992-237e-41df-b76f-08105a66af8d.txt,1,instruktionen waren verständlich,5,3,5,5,2,4,5,1,"- laute Stimmen -> wütend~~- leise, zurückhaltende, zitternde Stimmen -> ängstlich",U,M,E,5,2,A,"","DE, Germany","",2021-07-14-16-19,2021-07-14-17-06,47
s.71702084-dcf3-4592-8e47-5bbc791c5a31.txt,0632021,27,2,1,Werkstofftechnik (6. Semester),1,"","",Bachelorarbeit.2021-07-17-1035.data.71702084-dcf3-4592-8e47-5bbc791c5a31.txt,1,Alles sehr gut erklärt!,5,2,2,5,1,5,5,1,Keine besondere Strategie,"","","","","","","Teilweise wirkten die Stimmen weder ängstlich noch wütend, sondern eher enttäuscht","DE, Germany","",2021-07-17-10-08,2021-07-17-10-37,29
s.5e23dddc-cbc1-4be2-a8fd-f6ff75249f93.txt,0632021,24,1,1,"Psychologie B.Sc., 8",1,"","",Bachelorarbeit.2021-06-23-1258.data.5e23dddc-cbc1-4be2-a8fd-f6ff75249f93.txt,1,"Aufgabe etwas zu umständlich beschrieben, habe einen Moment gebraucht, um zu verstehen, was zu tun ist",4,3,2,4,2,3,4,2,"Ja, aber ich kann es nicht einfach in Worten beschreiben (bestimmte Klangmuster waren für mich eindeutig wütend/eindeutig ängstlich)","","","","","","","","DE, Germany","",2021-06-23-12-32,2021-06-23-13-02,30
