# A tibble: 16 × 8
   SpSex Word  AdaptType         fitted     SD     N      SE     CI
   <chr> <chr> <chr>              <dbl>  <dbl> <int>   <dbl>  <dbl>
 1 f     w01   pw12_ang/pw34_fea  0.557 0.0988    42 0.0152  0.0308
 2 f     w01   pw12_fea/pw34_ang  0.534 0.0933    42 0.0144  0.0291
 3 f     w02   pw12_ang/pw34_fea  0.271 0.0794    42 0.0123  0.0247
 4 f     w02   pw12_fea/pw34_ang  0.258 0.0735    42 0.0113  0.0229
 5 f     w03   pw12_ang/pw34_fea  0.403 0.0869    42 0.0134  0.0271
 6 f     w03   pw12_fea/pw34_ang  0.397 0.0750    42 0.0116  0.0234
 7 f     w05   pw12_ang/pw34_fea  0.514 0.0858    42 0.0132  0.0267
 8 f     w05   pw12_fea/pw34_ang  0.513 0.103     42 0.0159  0.0322
 9 m     w01   pw12_ang/pw34_fea  0.541 0.0904    42 0.0139  0.0282
10 m     w01   pw12_fea/pw34_ang  0.491 0.0873    42 0.0135  0.0272
11 m     w02   pw12_ang/pw34_fea  0.343 0.0898    42 0.0139  0.0280
12 m     w02   pw12_fea/pw34_ang  0.316 0.0918    42 0.0142  0.0286
13 m     w03   pw12_ang/pw34_fea  0.410 0.0747    42 0.0115  0.0233
14 m     w03   pw12_fea/pw34_ang  0.387 0.0780    42 0.0120  0.0243
15 m     w05   pw12_ang/pw34_fea  0.465 0.0605    42 0.00934 0.0189
16 m     w05   pw12_fea/pw34_ang  0.436 0.0702    42 0.0108  0.0219
