"","S3.participant","S3.VPN_Code","S3.Anmerkungen","S3.InstructionsClear","S3.Strategy"
"1","cffaace5","UHB52M","","","wütend war knapper/kürzer und mit mehr Nachdruck. ängstlich war oft etwas zittrig und eher fragend"
"2","5eb70e6b","hmH96l","","nein","nach Gefühl"
"3","eda7b7e6","EIF25N","","Ich fand alles verständlich und nachvollziehbar","Ein bisschen nach Wackligkeit der Stimme und ob am Ende die Tonlage nach oben ging oder nicht"
"4","df6b31a9","AOD18E","","gab keine Probleme, manchmal je nach Wortlaut nur unterschiedlich zu differenzieren","Bewertung nur nach Klang/Lautstärke der Stimme und Betonung der Wörter"
"5","34891e4e","NANA","","-alle Instruktionen waren sinnhaft und klar formuliert, sehr gut zu verstehen","Ich habe versucht, mich darauf zu konzentrieren, wie ""hart"" oder ""weich"" das jeweilige Pseudowort für mich klang. Ebenso spielte die Lautstärke der Stimme eine entscheidende Rolle bei meiner Bewertung. Zeitweise habe ich versucht, mich besser zu konzentrieren, indem ich meine Augen geschlossen habe."
"6","df4955c7","ESS38L","Nach längerem höhren fand ich das meine Stereotype ""aufgeweicht"" wurden. Am Anfang dachte ich sehr hohe, piepsige Stimmen können nur ängstlich klingen. Am Ende fand ich, dass sie auch wütend klingen können.","Alles war verständlich.","Zittern in der Stimme habe ich ängstlich zugeordnet. Schnelle Aussprache eher wütend. Aber bei schneller Aussprache und hoher Stimme eher ängstlich. Am Ende sind meine stereotypischen Vorstellungen wie hier beschrieben etwas aufgewichen und ich fand, das auch eine hohe piepsige Stimme wütend klingen kann."
"7","624ae1f3","NANA588.AdaptEmoS2.LTS57I","","- alles war verständlich","- Vergleich mit der vorhergehenden Sequenz"
"8","339fa9f6","NANA","sehr interessantes experiment, gerne mehr davon","Anweisungen verständlich und Worte deutlich hörbar","kurz betonte worte und silben klangen eher wütend~~langgezogene betonungen oder ein gewisses ""zittern"" in der stimme, klangen eher ängstlich"
"9","4ade5f31","OLS75E","","","- wenn stimme weinerlich nach oben geht eher ängstlich ~~- wenn langgezogenes wort und stimme brüchig eher ängstlich~~- bei starker, kurzer aussprache eher wütend"
"10","25e32d6b","IUG78N","","","hab mir vorgestellt, dass die Wörter Namen sind;~~hab überlegt, ob ich Person wütend antworten würde oder ob sie Angst vor mir hat"
"11","ac09d258","ARN81L","","War verständlich, v.a. Durch Übungsphasen~~Biischen komisch, dass zuerst alles einmal abgespielt wird vor dem Block","Angst: Stimmlage verändert sich, zittern in der Stimme, langgezogene Vokale~~Wut: lauter, schneller"
"12","e479ba78","NFG51A","","War alles verständlich, manchmal hatte ich das Gefühl, die Stimme war eine Mischung aus ängstlich und wütend, vielleicht so ängstlich, dass etwas Wut mit dabei war ","lang gezogene Wörter klangen meist eher ängstlich"
"13","d20d40cc","NANA","","Insgesamt sehr gut verständlich und gute Instruktionen. Ich konnte allem genau folgen. ","Ich habe auf die Geschwindigkeit des Sprechens geachtet, sowie auf die Tonlage. Aber auch welche Silben vorrangig betont werden (erste oder letzte)."
"14","5ce81bcf","AAS09A","","","nach Lautstärke und Tonhöhe, manchmal Art Zittern in der Stimme gemerkt --> dann ängstlich "
"15","4d35103d","NNB72L","","","Ich habe versucht, nicht auf den vorherigen Stimmklang zu achtwen und jede Stimme für sich selbst zu bewerten~~"
"16","de2e65dc","AHF79I","","",""
"17","dcbab922","NANA","","nein es war alles verständlich","nach dem Klang der Stimme, ob ein zittern in der Stimme lag, hatte aber irgendwann auch das Gefühl durch das Wort beeinflusst zu werden"
"18","5232b1c3","AHD19A","","nein, alles war klar","endbetonung der person und lautstärke beachtet"
"19","e0670839","ORM03E","","Es war eigentlich alles verständlich","Ich hatte keine konkrete Strategie aber ich glaube letztendlich habe ich nach Lautstärke entschieden (und vielleicht auch wie schnell oder langsam das Wort ausgesprochen wurde)"
"20","b4c7f791","IFD97A","","alles war eindeutig","wurde das Wort lang gezogen oder nicht"
"21","d590d5c3","ASH59A","","","wie energischen waren die stimmen, Lautstärke, ""hochgehen"" der Stimme"
"22","05da49af","AEM23R","","war alles klar, nur die allermeisten Stimmen klangen ängstlich","Hab mir versucht vorzustellen wie ich auf die Person treffe und die Stimme höre. Je nachdem ob ich eher zur Hilfe eilen oder mich vor der Wut schützen würde habe ich ausgewählt."
"23","3c3a6a03","NANA","","",""
"24","607960f0","idZ91n","","alles war verständlich","nein"
"25","f34a88cf","NANA","","alles super","erster Eindruck und assoziativ, aber manchmal hat mein Finger reflexartig die vorherige Taste geklickt, obwohl ich eigentlich gegenteilige Emotion auswählen wollte"
"26","10da0ee5","NANA","","alles verständlich und nachvollziehbar","Ich richtete meine Bewertung nach dem Tonfall der Stimme. In manchen Stimmen war ein Zittern zu hören. Manche stimmen klangen hinterfragend und dadurch ängstlich. Laute und aufgebrachte Stimmen bewertete ich als wütend.  "
"27","1547126d","NANA588.AdaptEmoS2.aüF03a","","ja alles kalr","ich habe mir vorgestellt, die wörter seien Namen und Vater oder Mutter rufen sie. Dann hab eich bewertet, ob das Kind sozusagen wutend oder ängstlich besorgt angesprochen wurde "
"28","7b15ace2","AKT51A","","die Instruktionen waren verständlich","Das zittern in der Stimme habe ich eher als ängstlich eingeordnet. Bei einer schnelle Aussprache, eher wütend. "
"29","dce7618c","OLN74H","","",""
"30","9966fcf3","AIB33L","","Alles in Ordnung, hatte keine Probleme","Zittern in der Stimme oder oder ein fragendes Ansteigen der Tonhöhe an Ende des Wortes habe ich als Angst interpretiert. Lauter werden, als würde man nach einer Person rufen, habe ich als Wut aufgefasst."
"31","d5f6a828","NANA","Viel Erfolg :))!","","Ich habe vom Bildschirm weggeschaut und versucht mir eine ängstliche Person vorzustellen und habe dann versucht darauf zu achten, ob die Stimme von dieser Vorstellung abweicht (also eher wütend klingt)."
"32","8b1637a8","NANA","","Die Instruktionen sind verständlich,alles läuft gut.","Ich bewerte meine Gefühle danach, ob die Stimme aggressiv ist oder nicht."
"33","d38ffd0b","YRH96H","","Ausversehen habe ich aus Reflex manchmal die falsche Taste gedrückt","mal so mal so. teilweise habe ich nur überprüft, ob die Stimme wütend klingt. Kure Zeit habe ich verscuht mich auschließlich auf mien Gehör zu konzentrien und die Augen etwas zu schließen..."
"34","dcc56fb0","NANA","","alles war verständlich","Die Endung, ob die Stimme hoch oder eher runter geht "
"35","1d6d7f39","IHM97A","","",""
"36","9219adfa","IGS14A","","Verständlich","keine Strategie"
"37","83f395b3","NANA","","Ich war mir zunächst nicht ganz sicher, aber mit den Übungen vorweg hat es gut geklappt.",""
"38","6d44f0e3","OSB41E","","","Ich hab mir eine Mutter oder einen Vater vorgestellt, wenn sie ihr Kind rufen (haben sie Angst um das Kind oder hat das Kind Mist gebaut)"
"39","19112116","NANA","","Instruktionen waren verständlich; kurze Pausen zwischen ""roter"" und ""grüner"" Phase wären wünschenswert gewesen, da ich wiederholt in der roten Phase gedrückt habe; die Phantasiewörter klangen irgendwann wie Namen für mich, musste mich zwischendurch extrem auf den Tonfall konzentrieren","auf Sprachmelodie achten und Länge der Aussprache (abgehackt, zitternd,...)"
"40","5ed25fdf","NANA","","","Zittrige Stimmen wirkten häufig ängstlich"
"41","d4f68536","liZ92i","","es war alles klar verständlich","nach Stimmlage und Lautstärke"
"42","03adab22","OTL02Y","","",""
