participant,intro_question1_1,LAge_1,LSex_1,LMotherLanguage_1,LStudyWork_1,LHearingDisabilitiesKnown_1,LHearingDisabilitiesKind_1,LHearingDisabilitiesConstraint_1,StartRatingExperiment_1,afterExp1AllSoundsPlayed_1,afterExp2InstructionsClear_1,afterExp4Strategy_1,LPartCode_1,LPartCode_2,LPartCode_3,LPartCode_4,LPartCode_5,LPartCode_6,Anmerkungen_1,CLIENT_start,TIME_start,TIME_end,TIME_total
s.0a1b6908-cbe9-4873-a1d6-098f87e309ff.txt,31022025,19,1,1,"Bachelor HF Psychologie, 1. Semester",1,"","",Emo_Ident2.2025-02-14-1552.data.0a1b6908-cbe9-4873-a1d6-098f87e309ff.txt,1,- alles verständlich ,"- ich habe versucht, auf die betonung zu achten",A,E,D,8,2,I,"",2025-01-14-16-46,2025-02-14-15-44,2025-02-14-15-54,10
s.114e971f-aa43-4721-91b5-138a5cadbb91.txt,31022025,18,1,1,"Erziehungswissenscjaften HF, Psychologie NF, FS1 ",1,"","",Emo_Ident2.2025-02-14-1208.data.114e971f-aa43-4721-91b5-138a5cadbb91.txt,1,alles verständlich,keine Strategie,O,R,F,4,0,A,"",2025-01-14-13-01,2025-02-14-12-01,2025-02-14-12-10,9
s.15a3b18e-a33f-41d8-86c8-f4577ff4d69d.txt,31022025,21,1,1,"psychologie (HF, 1)",1,"","",Emo_Ident2.2025-02-15-1613.data.15a3b18e-a33f-41d8-86c8-f4577ff4d69d.txt,1,Sehr verständlich und einfach im umgang ,keine strategie ,A,Y,S,3,5,A,"",2025-01-15-17-05,2025-02-15-16-05,2025-02-15-16-15,10
s.15d71906-4df1-4eaa-aeaf-fd0030e4ef64.txt,31022025,25,2,1,HF Soziologie NF Psychologie,1,"","",Emo_Ident2.2025-02-18-2058.data.15d71906-4df1-4eaa-aeaf-fd0030e4ef64.txt,1,"Ich fand die Stimmen schwer zu unterscheiden, aber alles war verstädnlich",nach gefühl,E,R,B,8,8,O,"",2025-01-18-21-50,2025-02-18-20-50,2025-02-18-21-00,10
s.16601cb6-b549-4a9b-8188-afb73570fff3.txt,31022025,20,1,1,"Altertumswissenschaft/Psychologie, 2",1,"","","","","","","","","","","","","",2025-01-14-13-03,2025-02-14-12-03,"",""
s.1a974eae-6d46-4615-995a-9259ef763432.txt,31022025,22,1,1,"HF Soziologie NF Psychologie, 5. Semester",1,"","",Emo_Ident2.2025-02-14-1738.data.1a974eae-6d46-4615-995a-9259ef763432.txt,1,nein,Augen geschlossen und auf Stimmklang konzentriert~~,I,N,P,8,2,A,"",2025-01-14-18-32,2025-02-14-17-32,2025-02-14-17-40,8
s.1f5a874a-83fa-4e0b-8602-467261ffca41.txt,31022025,20,1,1,psychologie,1,"","",Emo_Ident2.2025-02-14-1229.data.1f5a874a-83fa-4e0b-8602-467261ffca41.txt,1,"","stimmlage, aussprache und betonung",E,O,B,4,7,I,"",2025-01-14-13-24,2025-02-14-12-24,2025-02-14-12-32,8
s.2180a92a-79f9-44d4-a54a-afb3588253d0.txt,31022025,18,1,1,"B.Sc. Psychologie, 1",1,"","",Emo_Ident2.2025-02-20-1228.data.2180a92a-79f9-44d4-a54a-afb3588253d0.txt,1,-alles verständlich~~- manchmal viel die Entscheidung schwer~~- 2. Teil war eine Person gefühlt sehr viel vertreten,"- hab auf mein Gefühl gehört, es gab keine wirkliche Strategie~~- ich bilde mir aber ein mit der Zeit ein besseres Gefühl für die Stimmen zu bekommen",A,N,M,0,5,E,"",2025-01-20-13-18,2025-02-20-12-18,2025-02-20-12-33,15
s.26f22dd0-ecc1-4ed2-bbcf-7bdfb53ade93.txt,31022025,30,1,1,"",1,"","","",2,"","","","","","","","","",2025-01-13-14-44,2025-02-13-13-44,"",""
s.2e2cf085-24f5-467e-bffb-2212c25d0cb4.txt,31022025,29,1,1,Studentin (Psychologie),1,"","",Emo_Ident2.2025-02-14-1727.data.2e2cf085-24f5-467e-bffb-2212c25d0cb4.txt,1,"Ich fand die Zuordnung (F = unterschiedlich, J = dieselbe) irgednwie nicht so intuitiv.","einfach hingehört, gefühlt fiel es leichter wenn die Lautstärke ähnlich war zu erkennen, bisschen auf den Unterton geachtet / Stimmfarbe (rau, älter, jünger)",A,T,L,2,1,E,"",2025-01-14-18-20,2025-02-14-17-20,2025-02-14-17-30,10
