participant,intro_question1_1,LAge_1,LSex_1,LMotherLanguage_1,LStudyWork_1,LHearingDisabilitiesKnown_1,LHearingDisabilitiesKind_1,LHearingDisabilitiesConstraint_1,StartRatingExperiment_1,afterExp1AllSoundsPlayed_1,afterExp2InstructionsClear_1,afterExp3RatingEvaluation_1,afterExp3RatingEvaluation_2,afterExp3RatingEvaluation_3,afterExp3RatingEvaluation_4,afterExp3RatingEvaluation_5,afterExp3RatingEvaluation_6,afterExp3RatingEvaluation_7,afterExp3RatingEvaluation_8,afterExp4Strategy_1,LPartCode_1,LPartCode_2,LPartCode_3,LPartCode_4,LPartCode_5,LPartCode_6,Anmerkungen_1,CLIENT_start,TIME_start,TIME_end,TIME_total
s.0001848a-222e-4251-969b-b72c0a43d5b6.txt,03032025,21,1,1,"Psychologie (HF, 3)",1,"","",Identitäten_mitTopUp_JAVMEPS.2025-03-05-1426.data.0001848a-222e-4251-969b-b72c0a43d5b6.txt,1,Instruktionen waren verständlich ~~,3,4,2,5,2,3,5,2,"Am Ende habe ich primär auf die Betonung geachtet, ansonsten hatte ich keine Strategie",L,I,B,1,2,A,"",2025-02-05-15-09,2025-03-05-14-04,2025-03-05-14-30,26
s.00b8bbd5-9fb0-4999-839c-4c78d3862cd2.txt,03032025,23,2,1,"HF, 6",1,"","",Identitäten_mitTopUp_JAVMEPS.2025-03-04-1002.data.00b8bbd5-9fb0-4999-839c-4c78d3862cd2.txt,1,"",3,4,3,5,2,3,4,3,wenn tiefer stimmenkling zum silbenende eher aggressiv wütend konnotiert,A,R,F,7,4,Y,"",2025-02-04-10-42,2025-03-04-09-42,2025-03-04-10-05,23
s.1cb45771-e649-4ec1-98af-7d0064dffd50.txt,03032025,"","","","","","","","","","","","","","","","","","","","","","","","","","",2025-02-03-11-58,2025-03-03-10-57,"",""
s.22a7fb0a-dd3a-42f2-bdbd-2f330f0a3354.txt,03032025,22,1,1,Psychologie (HF),1,"","",Identitäten_mitTopUp_JAVMEPS.2025-03-06-0929.data.22a7fb0a-dd3a-42f2-bdbd-2f330f0a3354.txt,1,"",5,3,2,5,1,3,5,1,"",E,H,M,5,8,L,"",2025-02-06-10-02,2025-03-06-09-02,2025-03-06-09-33,31
s.28148a1e-96d2-4c0a-8a38-d3adfd7ea2ec.txt,03032025,25,1,1,HF B.Sc. Psychologie ,1,"","",Identitäten_mitTopUp_JAVMEPS.2025-03-04-1257.data.28148a1e-96d2-4c0a-8a38-d3adfd7ea2ec.txt,1,War alles klar,2,4,4,4,2,2,4,2,"Manche klangen, als würden sie jemanden rufen, der etwas angestellt hat. Die hab ich wütend verortet. Alle Stimmen, die am Ende hochgehen, wie bei einer Frage, aber nicht wie gerufen klingen hab ich als ängstlich bezeichnet.",A,I,B,3,3,L,"",2025-02-04-13-36,2025-03-04-12-36,2025-03-04-13-01,25
s.2a389258-bac2-4156-afea-a157da06716e.txt,03032025,25,1,1,"Psychologie, 5",1,"","",Identitäten_mitTopUp_JAVMEPS.2025-03-04-1459.data.2a389258-bac2-4156-afea-a157da06716e.txt,1,"",4,3,3,4,2,2,4,2,"",N,N,B,7,2,L,"",2025-02-04-15-35,2025-03-04-14-35,2025-03-04-15-01,26
s.30350cbf-f7b7-4eeb-8d95-713daf85a6df.txt,03032025,24,1,1,"M.Sc. Psychologie, 5",1,"","",Identitäten_mitTopUp_JAVMEPS.2025-02-24-1410.data.30350cbf-f7b7-4eeb-8d95-713daf85a6df.txt,1,"",4,3,3,5,2,4,5,2,"Ich hatte das Gefühl, die Stimmen, die bei dem roten Kreuz kamen waren jeweils einmal wütend und einmal ängstlich. Ich habe versucht mich danach zu richten. ","","","","","","",Isabell ,2025-01-24-14-42,2025-02-24-13-42,2025-02-24-14-14,32
s.303e2391-f1fa-4734-a4ec-0d7cd202d111.txt,03032025,20,1,1,"HF Psychologie, 1",1,"","",Identitäten_mitTopUp_JAVMEPS.2025-03-03-1454.data.303e2391-f1fa-4734-a4ec-0d7cd202d111.txt,1,-alle Instruktionen verständlich ~~-keine Fragen ,4,3,2,4,1,3,2,1,"-ich habe mir die Person, die das Pseudowort ausspricht vorgestellt und mit überlegt ob eine ängstlche oder wütende Situation besser passen würde ~~-ich habe versucht auf die Klangfarbe zu achten, aber das traf nicht immer zu ",N,O,B,7,0,E,"",2025-02-03-15-29,2025-03-03-14-29,2025-03-03-14-59,30
s.3491db5c-18ba-4bcf-be7f-fedf05e69165.txt,03032025,20,1,1,"Psychologie, 5",1,"","",Identitäten_mitTopUp_JAVMEPS.2025-03-05-1016.data.3491db5c-18ba-4bcf-be7f-fedf05e69165.txt,1,"",4,3,2,5,1,4,5,2,"",I,G,S,0,8,A,Ich fand die Einschätzung bei den weiblichen Stimuli um einiges schwieriger,2025-02-05-10-53,2025-03-05-09-53,2025-03-05-10-19,26
s.3b418a6b-5de9-4940-a029-478b3e96ca8b.txt,"","","","","","","","","","","","","","","","","","","","","","","","","","","",2025-02-03-21-06,2025-03-03-20-06,"",""
s.3e8f148c-ba37-404a-a77d-fff71df94405.txt,03032025,28,1,1,Pädagogische Fachkraft,1,"","",Identitäten_mitTopUp_JAVMEPS.2025-03-04-1733.data.3e8f148c-ba37-404a-a77d-fff71df94405.txt,1,"",4,3,3,4,2,2,5,2,"",O,I,K,8,4,T,"",2025-02-04-18-09,2025-03-04-17-09,2025-03-04-17-36,27
s.416471f0-5ef9-4489-b5db-0f5574782425.txt,03032025,23,3,1,"Soziologie HF 9, Psychologie NF 7",1,"","",Identitäten_mitTopUp_JAVMEPS.2025-03-04-0929.data.416471f0-5ef9-4489-b5db-0f5574782425.txt,1,nein,5,3,2,3,2,4,3,2,augen zu machen hat geholfen~~bei neutralen tiefen Stimmen habe ich eher wütend geklickt und bei neutralen hohen stimmen eher ängstlich (--> geschlechtsbezogene Sozialisation),A,W,H,5,9,H,"",2025-02-04-10-08,2025-03-04-09-08,2025-03-04-09-32,24
s.4396c4ec-5009-4ab3-b3a1-64daf374a6ea.txt,03032025,25,1,1,"HF Psychologie, 5",1,"","",Identitäten_mitTopUp_JAVMEPS.2025-03-03-1242.data.4396c4ec-5009-4ab3-b3a1-64daf374a6ea.txt,1,"Intruktionen waren deutlich, wurden oft genug wiederholt",4,2,1,4,1,2,5,1,"Ich habe auf Tonlage und Geschwindigkeit geachtet, für mich klangen die Wörter nach kurzer Zeit zum Teil wie Namen und ich habe versucht raus zuhören ob die Person eher ängstlich/leidend klingt oder forsch wütend würde er oder sie grade einen Namen aussprechen",E,I,E,4,9,E,"",2025-02-03-13-14,2025-03-03-12-14,2025-03-03-12-46,32
s.479d9128-9537-4ae6-b199-d36b2de9d694.txt,03032025,18,1,1,"Soziologie/Psychologie, 1",1,"","",Identitäten_mitTopUp_JAVMEPS.2025-03-03-1325.data.479d9128-9537-4ae6-b199-d36b2de9d694.txt,1,war alles verständlich,4,3,2,5,1,3,5,1,an der Betonung bzw. Aussprache der Vokale orientiert,E,T,L,6,8,O,"",2025-02-03-14-01,2025-03-03-13-01,2025-03-03-13-29,28
