"","S1.participant","S1.VPN_Code","S1.Anmerkungen","S1.InstructionsClear","S1.Strategy"
"1","a5e6a50d","AHS75N","","Ich fand alles sehr gut verständlich.",""
"2","696f816e","ilR60i","","Alles verständlich","- nach Ausschlussprinzip: Hab ich keinerlei Angst gehört, dann wütend angeklickt, ansonsten immer ängstlich"
"3","1d5bd969","AIH89A","Vorallem wenn ich mich auf Stimmen konzentriere schließe ich oft meine Augen, dadruch war ich manchmal zu schnell oder langsam beim beantworten und musste mich bei den Aufgaben mit dem roten Kreuz mehr auf den Buldschirm als auf die Stimmen konzentrieren. ","ich hatte keine Probleme mit den Aufgabenstellungen ","ich habe auf die Lautstärke und die Betonung geachtet "
"4","6cb0526c","NANA","war sehr interessant, besonders wenn man selber Muster erkennt, wann es eher traurig oder eher wütend wirkt","alles gut","- ""Bilder im Kopf"", also welche Gestik am besten passen würde "
"5","6c67a6d1","AHK17E","Weiterhin viel Erfolg bei der Erhebung und beim Schreiben der BA! :)","Einmal kam es mir so vor, als wäre eine Stimme drei mal hintereinander abgespielt worden - kann aber auch sein, dass das gewollt ist?","Keine besondere Strategie"
"6","8ede8a2e","NANA","War vielleicht etwas lang und eintönig; Konzentration am Ende war trotz Pausen nicht wirklich hoch","Erklärung mit dem roten Kreuz war verkompliziert","Erster Eindruck im Vergleich zu den restlichen Tönen"
"7","5a66af8d","UME52A","","instruktionen waren verständlich","- laute Stimmen -> wütend~~- leise, zurückhaltende, zitternde Stimmen -> ängstlich"
"8","791c5a31","NANA","Teilweise wirkten die Stimmen weder ängstlich noch wütend, sondern eher enttäuscht","Alles sehr gut erklärt!","Keine besondere Strategie"
"9","75249f93","NANA","","Aufgabe etwas zu umständlich beschrieben, habe einen Moment gebraucht, um zu verstehen, was zu tun ist","Ja, aber ich kann es nicht einfach in Worten beschreiben (bestimmte Klangmuster waren für mich eindeutig wütend/eindeutig ängstlich)"
"10","2bba77a4","NANA","","bei verzögerter Reaktion der Hinweis zu reagieren, erschien mir sehr schnell","habe oft die Augen geschlosseen~~achetet auf heben oder senken der Stimmen im Wort~~"
"11","77efc59c","mab12e","","-Anweisungen waren verständlich und leicht zu befolgen","-keine Strategie~~-versucht nur nach Stimme zu werten"
"12","e7e460ee","NANA","Die Pausen waren gut, ich wurde recht müde und ohne die, hätte ich mich schlecht konzentrieren können. Kurzzeitig ist man sich unsicher mit seiner Entscheidung, obwohl es teilweise sehr eindeutig ist","Alles verständlich, teilweise waren Sachen dabei, die weder wütend noch ängstlich waren","Am Anfang hatte ich keine, aber sobald ich mir die Wörter gemerkt habe und ich diese plötzlich als Namen wahrgenommen habe, ist mir die Entscheidung deutlich einfacher gefallen. Außerdem war der Klang am Wortende häufig ausschlaggebend"
"13","04ab529c","ATN64A","","alles verständlich",""
"14","0a84cedd","ASS55I","zu lang","",""
"15","60c8dff1","NII22E","","","- dinge die fragend klangen eher als ängstlich interpretiert, wenn es keinen aggressiven Unterton gab"
"16","1eb5a13c","AHH41L","","- es war verständlich~~- Nein gab es nicht","- wie langezogen das Wort war~~- wie laut geredet wurde"
"17","a7573d64","ENB10A","","","Zittern in der Stimme, Betonung, Höhe bzw. Tiefe des Satzanfangs oder -endes"
"18","d2455d99","NANA","","","Stimmlage, Höhe - Tiefe, Weiblich-Männlich Unterscheidung, Gefühlte Aggresivität, Angst"
"19","174eb9f4","ibM23n","","Alles war klar verständlich.","die fiktiven Worte habe ich als Namen interpretiert, die gerufen wurden"
"20","83a333b9","NANA","Es wäre vielleicht ganz gut, wenn man weiß, ab wann man auf eine Stimme reagieren darf - also entweder Instruktionen einfügen, dass erst nach Beendigung der Aussprache reagiert werden soll, oder eine Reaktion sofort ermöglichen - bei manchen sehr klaren Trials wollte ich super schnell drücken, allerdings hat das Programm die Reaktionen nicht immer so schnell angenommen, sodass dann 2x gedrückt werden musste, was potenziell die Reaktionszeit verfälschen könnte","Alles gut :)","Zittern als klarer Indikator für Furcht, wenn ich unsicher war "
"21","583e2f59","EEN74A","","Instruktionen waren eindeutig und verständlich~~durch Übungsblock blieben keine offenen Fragen","keine Strategie aber manche Stimmen waren für mich eindeutig ängstlich/wütend"
"22","5e07bd07","UEJ33I","","nein, alles gut","Die Stimmen bekamen ein imaginäres Gesicht von mir. Somit wurden es Personen je öfter man eine Stimme gehört hat. "
"23","64d57813","NANA","-würde gern die Auswertung erfahren bzw. was mit dieser Studie konkret bezweckt / erforscht wurde ~~-manche Stimmen hätte ich gar nicht ""wütend"" oder ""ängstlich"" zugeordnet ","-sehr viel Text~~-hätte mich besser darauf vorbereitet gefühlt, wenn da gestanden hätte, dass während des Experimentes  da steht, wofür F & J nochmal jeweils stehen~~-sollte mir etwas komisch vorgekommen sein?~~-Schreibfehler ganz am Anfang ""Im"" (steht da) anstatt ""In""","-keine"
"24","50a68ecc","NANA","Was versprechen Sie sich für Erkenntnisse aus dieser Studie?","nach Proberunde war alles klar","Vorstellung, dass die Wörter Namen sind und ~~vorgestellt dass jemand jemanden mit diesem Namen ruft"
"25","d5c4f798","NANA","","Instruktionen verständlich. Stimmen hören sich gefiltert an.","Habe mich bemüht, den selben Tonschnipsel immer gleich zu bewerten. Ich denke, die roten Schnipsel in denen immer die Frau wütend und der Mann ängstlich ist (oder umgekehrt), sollen den Hörer bewegen, die zweideutigen Schnipsel auch jeweils so zu bewerten. Wenn sich ein Schnipsel ungehalten jammernd anhört, habe ich zu wütend tendiert."
"26","32b2ad54","NTH66A","","nein, alles verständlich gewesen","nein"
"27","4b0ead3a","OPH12I","","","Knarzen am Anfang -> Wut ~~Stimme am Ende nach oben -> Angst~~hohe Frequenz von Schwankungen -> Angst~~"
"28","f6b635ab","ETB40N","","alles war verständlich","ich habe keine Strategie entwickelt"
"29","2e48f931","ITB43A","Das waren wirklich sehr viele Trials :-)","-Alles verständlich","- Nein"
"30","cf5c4201","olw09a","","sehr verständlich",""
"31","bc4259d9","NANA","","",""
"32","c0b4600f","NANA","","Ich glaube ein paar mal habe ich spontan die falsche Taste gedrückt.~~Und manche Stimmen klangen eher genervt als wütend oder ängstlich (für mich zumindest)",""
